Date,AAPL,ACN,ADBE,ADI,ADP,ADS,ADSK,AKAM,AMAT,AMD,ANSS,APH,ATVI,AVGO,CA,CDNS,CRM,CSCO,CSRA,CTL,CTSH,CTXS,DXC,EA,EBAY,FB,FFIV,FIS,FISV,FLIR,GLW,GOOG,GOOGL,GPN,HPE,HPQ,IBM,INTC,INTU,IT,JNPR,KLAC,LRCX,MA,MCHP,MSFT,MSI,MU,NTAP,NVDA,ORCL,PAYX,PYPL,QCOM,QRVO,RHT,SNPS,STX,SWKS,SYMC,T,TEL,TSS,TXN,V,VRSN,VZ,WDC,WU,XLNX,XRX
2017-11-27,173.38308700000002,147.5,185.0,86.990593,109.54141200000001,220.94160499999998,130.240005,55.349998,56.836529000000006,11.55,150.880005,90.18755300000001,65.739998,282.745575,32.139996000000004,45.139998999999996,106.58000200000001,36.597027000000004,28.326634999999996,13.19731,72.22242,86.150002,97.351662,106.989998,35.990002000000004,183.029999,123.699997,91.687042,128.16000400000001,46.924076,31.856603999999997,1054.209961,1072.01001,103.87953900000001,13.40071,21.111326000000002,150.49823,44.190205,154.40242,118.32,27.099339,103.79898100000001,209.817169,152.729538,88.542976,83.477867,92.365868,48.049999,56.03294399999999,214.007004,48.690388,64.208298,77.839996,66.99498,79.739998,128.199997,89.230003,38.507301,106.89756799999999,28.682077000000003,34.226665000000004,94.42885600000001,73.929176,98.087158,112.18468500000002,117.089996,47.123267999999996,86.01548000000001,19.303823,72.111153,27.990601
2017-11-28,172.367249,148.03999299999998,185.399994,86.612595,110.61554,225.092056,129.949997,55.360001000000004,57.225821999999994,11.17,150.270004,90.84614599999999,65.970001,275.57312,32.199089,45.189999,106.459999,37.450661,28.52598,13.265138,72.69126899999999,87.690002,97.810776,109.470001,35.5,182.419998,126.66999799999999,92.434738,128.41000400000001,47.392517,32.244246999999994,1047.410034,1063.290039,103.53958100000001,13.8086,21.51865,150.983459,44.428585,155.419998,119.489998,27.901037,106.553299,212.01551800000001,153.94761699999998,90.185799,84.48313900000001,94.006737,47.93,56.600944999999996,210.579132,48.819881,65.32012900000001,77.790001,67.79808,79.029999,129.240005,89.800003,39.394108,107.226578,28.811365000000002,34.956993,95.325325,74.03899399999999,98.932487,113.16298700000002,117.010002,48.270203,86.353378,19.511925,71.792824,28.754070000000002
2017-11-29,168.791809,146.949997,176.850006,85.21000699999999,112.714073,232.67462200000003,109.339996,55.34,52.813854000000006,10.83,146.580002,89.57885,62.009997999999996,269.71200600000003,32.34304,43.16,103.529999,37.202511,28.41634,14.088757999999999,71.933128,87.0,95.33555600000001,105.489998,34.380001,175.130005,129.860001,92.434738,128.720001,46.405796,32.284008,1021.659973,1037.380005,98.950035,13.898138000000001,21.290152,152.052933,43.653843,153.85372900000002,119.309998,29.306482,99.781853,193.61312900000001,148.116806,86.203209,82.95034,93.64872700000001,43.740002000000004,56.03294399999999,196.298004,48.331783,66.094444,73.25,65.953911,76.690002,124.489998,86.769997,38.182137,105.01325200000001,28.413555,36.003136,93.881004,72.211975,96.34679399999999,109.669067,114.739998,49.338043,80.499756,19.521835,69.017403,29.051527
2017-11-30,171.152191,148.009995,181.470001,86.110001,113.837929,238.720703,109.699997,55.779999,52.67411,10.89,148.190002,90.397102,62.400002,276.109589,32.829471999999996,43.91,104.32,37.023846,28.834961,14.137207,72.102715,87.629997,95.95436099999999,106.349998,34.669998,177.179993,134.199997,94.039787,131.449997,46.425732,32.194553000000006,1021.409973,1036.170044,100.549873,13.878241000000001,21.310022,152.468826,44.537846,156.84660300000002,120.889999,27.568552,101.661148,191.31530800000002,150.233475,86.61142,83.776459,93.589066,42.389998999999996,56.311962,200.585342,48.869690000000006,66.819115,75.730003,65.775444,76.58000200000001,126.760002,90.379997,37.994923,104.42501800000001,28.811365000000002,35.904446,94.070267,74.238663,96.75453900000001,112.394318,115.099998,50.316891,78.37297099999999,19.511925,69.14672900000001,29.408474
2017-12-01,170.355438,146.570007,179.520004,85.400002,113.13179,233.49272200000001,107.059998,55.790001000000004,51.815670000000004,10.73,146.53999299999998,89.608788,61.959998999999996,269.771606,32.948601000000004,43.720001,103.83000200000001,37.321621,28.595748999999998,13.856207000000001,71.184967,88.349998,95.39544699999999,106.019997,35.200001,175.100006,132.71000700000002,93.46157099999999,130.41000400000001,46.276226,31.657812,1010.169983,1025.069946,100.739861,14.365720000000001,21.270283,153.251114,44.378921999999996,156.068451,119.949997,28.184275,103.281929,186.819153,149.454697,86.621376,83.866043,92.515038,41.990002000000004,56.212315000000004,197.55722,49.417557,66.38233199999999,75.300003,64.93267800000001,74.209999,125.260002,90.32,38.536861,101.922577,28.9506,36.022877,93.363045,73.759445,96.645142,110.53756000000001,114.959999,50.672836,78.869881,19.531744,67.883362,29.467964000000002
2017-12-04,169.11051899999998,147.149994,168.440002,84.790001,114.18602800000001,237.62322999999998,107.949997,56.439999,49.679562,10.03,142.009995,88.271637,58.599998,261.87393199999997,33.037945,42.419998,99.849998,37.440739,29.143942,14.35038,70.147522,86.769997,93.040001,100.83000200000001,35.700001,171.470001,132.529999,93.341934,132.240005,46.096825,32.015636,998.679993,1011.8699949999999,95.95034,14.156799,20.942435999999997,154.93455500000002,44.190205,154.172958,121.25,27.767172,100.308846,179.78646899999998,143.204529,85.92443100000001,80.700912,93.111717,39.900002,55.733996999999995,186.54406699999998,48.21225,67.116928,70.970001,64.01059000000001,72.400002,120.309998,87.720001,38.625541999999996,97.964508,27.598045000000003,36.78281,92.50640899999999,72.980721,95.44180300000001,107.24329399999999,112.559998,51.137547,76.633781,19.531744,67.803787,29.120934000000002
2017-12-05,168.95117199999999,147.669998,167.53999299999998,84.83000200000001,115.0513,231.966248,106.589996,56.439999,49.988997999999995,9.91,143.440002,87.992241,59.549999,259.926849,32.978382,42.669998,100.690002,37.033772,28.884796,13.943415,70.257248,87.199997,92.870003,103.379997,36.810001,172.830002,132.600006,94.877197,130.880005,45.88752,32.04546,1005.150024,1019.599976,96.62026999999999,14.007570999999999,20.932501000000002,153.835373,43.147278,154.103134,121.519997,27.419586,102.05888399999999,180.075729,144.901871,85.834816,81.208519,90.158165,41.209998999999996,55.943259999999995,187.623398,47.803841,67.44452700000001,71.199997,64.139488,71.779999,120.870003,87.339996,38.556568,97.306496,27.289742999999998,36.07222,92.19761700000001,73.89921600000001,96.36668399999999,108.391296,112.440002,50.346554,78.074821,19.37319,68.062424,29.190340000000003
2017-12-06,168.323715,148.270004,173.520004,85.410004,115.289993,229.33230600000002,106.91999799999999,55.77,50.917305,10.0,144.720001,87.593086,60.75,262.15213,33.0578,42.900002,102.91999799999999,37.13303,28.844927000000002,13.410483,71.324623,87.389999,93.379997,103.18,36.830002,176.059998,131.470001,95.006805,130.559998,46.007121999999995,31.478896999999996,1018.3800050000001,1032.719971,97.180222,14.08716,20.882828,152.597565,43.157211,155.819046,119.480003,27.767172,102.15831800000001,183.766418,147.18826299999998,85.93438,82.39296,90.784676,41.580002,57.00951,189.142456,48.23217,67.911102,73.139999,64.427025,70.099998,121.940002,88.650002,38.605835,96.179893,27.210182,35.637974,91.918716,74.687927,96.486023,109.549278,112.400002,50.109257,77.37915,19.224546,68.032578,29.388643
2017-12-07,168.632477,148.600006,174.610001,86.110001,115.879997,231.916351,109.610001,56.439999,52.20496,10.04,146.309998,87.952324,61.57,262.15213,32.928745,43.549999,104.07,37.123108,29.243614,13.662415,71.43435699999999,87.16999799999999,94.650002,104.370003,36.849998,180.139999,131.830002,95.57505,131.199997,46.037022,31.538534000000002,1030.930054,1044.569946,99.18001600000001,14.146851999999999,20.833153,152.07273899999998,42.789707,155.190536,120.230003,28.223999,103.98790699999999,188.684021,149.215073,87.009682,82.10431700000001,92.286316,43.200001,57.328388000000004,191.870758,48.331783,68.03022,73.690002,64.67489599999999,68.720001,123.800003,90.33000200000001,38.999973,96.389259,27.409086,35.697189,93.52241500000001,75.806099,97.241837,111.20638999999998,112.82,49.852184,77.866119,19.343462,68.63938900000001,29.339067
2017-12-08,168.682251,150.529999,173.570007,85.519997,116.019997,232.514984,107.160004,56.5,51.336544,9.94,146.130005,89.149765,62.43,258.198334,33.236492,43.560001,103.440002,37.331551,29.143942,14.214725,71.643837,87.589996,95.93,105.269997,37.650002,179.0,132.740005,95.55510699999999,131.720001,46.236359,32.154793,1037.050049,1049.380005,99.360001,14.266233999999999,20.932501000000002,153.30062900000001,43.057884,154.86132800000001,120.709999,28.184275,103.391304,185.990814,149.654373,87.02959399999999,83.76651,92.007858,43.209998999999996,58.055828000000005,191.371078,49.407593,68.506721,72.910004,63.69331700000001,67.879997,125.290001,90.510002,39.896637,95.990463,27.826786,36.24987,94.448776,76.45504,97.480515,112.40430500000001,112.980003,50.514641,80.96685,19.214638,68.18180100000001,29.339067
