Date,SPY
2017-11-21,258.667816
2017-11-22,258.43899500000003
2017-11-24,259.035919
2017-11-27,258.90661600000004
2017-11-28,261.533173
2017-11-29,261.37399300000004
2017-11-30,263.662323
2017-12-01,263.115082
2017-12-04,262.79675299999997
2017-12-05,261.851563
2017-12-06,261.90130600000003
2017-12-07,262.727081
2017-12-08,264.15976
2017-12-11,264.955688
2017-12-12,265.42330899999996
2017-12-13,265.393463
2017-12-14,264.30899
2017-12-15,266.51001
2017-12-18,268.200012
2017-12-19,267.170013
2017-12-20,267.02999900000003
2017-12-21,267.579987
2017-12-22,267.51001
2017-12-26,267.190002
2017-12-27,267.320007
2017-12-28,267.869995
2017-12-29,266.859985
2018-01-02,268.769989
2018-01-03,270.47000099999997
2018-01-04,271.609985
2018-01-05,273.420013
2018-01-08,273.920013
2018-01-09,274.540009
2018-01-10,274.119995
2018-01-11,276.119995
2018-01-12,277.920013
2018-01-16,276.97000099999997
2018-01-17,279.609985
2018-01-18,279.140015
2018-01-19,280.410004
2018-01-22,282.690002
2018-01-23,283.290009
2018-01-24,283.179993
2018-01-25,283.299988
2018-01-26,286.579987
2018-01-29,284.679993
2018-01-30,281.76001
2018-01-31,281.899994
2018-02-01,281.579987
2018-02-02,275.450012
2018-02-05,263.929993
2018-02-06,269.130005
2018-02-07,267.670013
2018-02-08,257.630005
2018-02-09,261.5
2018-02-12,265.339996
2018-02-13,266.0
2018-02-14,269.589996
2018-02-15,273.02999900000003
2018-02-16,273.109985
2018-02-20,271.399994
2018-02-21,270.049988
2018-02-22,270.399994
2018-02-23,274.709991
2018-02-26,277.899994
2018-02-27,274.429993
2018-02-28,271.649994
2018-03-01,266.690002
